CLIENT_VAT;TIMO_ID;AT_KM;CZ_KM;DE_KM;EE_KM;HU_KM;LT_KM;LV_KM;PL_KM;SE_KM;SK_KM;COMPANY_LP;ADRESS_LP;COD_LP;CITY_LP;LATITUDE_LP;LONGTITUDE_LP;START_LOAD_DATA;START_LOAD_TIME;END_LOAD_DATA;END_LOAD_TIME;COMPANY_DP;ADRESS_DP;COD_DP;CITY_DP;LATITUDE_DP;LONGTITUDE_DP;START_DELIVERY_DATA;START_DELIVERY_TIME;END_DELIVERY_DATA;END_DELIVERY_TIME;VEHICLE_TYPE;BODY_TYPE;LOAD_UNLOAD_METHOD;EPALE;GOODS_TYPE;TEMP_MIN;TEMP_MAX;EURO;LDM;M3;HEIGHT;WIDTH;TONS;REQUIREMENTS;OTHER_COSTS;QTY_LOADS;QTY_DELIVERIES;SOURCE;PAYMENT TERM;DOCUMENTS_BY;CARGO_VALUE_EURO;CUSTOMS;TIME_OF_ENTRY
;278358;;;;;;;20.70;;;;;;LV3002;;;;01.04.2022;;01.04.2022;;;;LV2127;;;;01.04.2022;;01.04.2022;;Articulated truck;Tautliner, Refrigerator, Curtain ;Side, Back,;;;;;200;13.6;;;;24;;;1;1;TIMO;;;;;
LT100005170018;225990;;;;196.60;;215.60;202.30;;;;;;LT56161;;;;04.04.2022;;04.04.2022;;;;EE75326;;;;05.04.2022;;05.04.2022;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;800;13.6;;;;25;;;1;1;TIMO;;;;;04.04.2022 08:20:36
LT100007663018;403118;;;;;;211.50;86.30;;;;;;LT26109;;;;04.04.2022;;06.04.2022;;;;LV1050;;;;05.04.2022;;07.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;350;13.6;;;;24;;;1;1;TIMO;;;;;04.04.2022 13:43:28
LT100013698316;405668;;;;;;187.50;;;;;;;LT57158;;;;05.04.2022;;07.04.2022;;;;LT89132;;;;06.04.2022;;08.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;270;13.6;;;;24;;;1;1;TIMO;;;;;01.04.2022 12:56:46
LT100002786510;214793;;;;;;116.30;;;415.20;;;;LT89139;;;;06.04.2022;;06.04.2022;;;;SE45533;;;;08.04.2022;;08.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;1700;13.6;;;;24;;-898.71;1;1;TIMO;;;;;04.04.2022 14:51:32
PL584031823;393;;380.50;471.10;;133.40;;;;558.80;80.40;;;HU8200;;;;06.04.2022;;06.04.2022;;;;SE64237;;;;11.04.2022;;11.04.2022;;Rigid truck, Articulated truck;Refrigerator;Side, Back,;;ICE CREAM;-25;-18;2500;13.6;;;;20;;-420.26;1;1;TIMO;;;;;04.04.2022 08:52:53
SK2021917447;175288;;;;;308.30;;;;;123.60;;;HU4541;;;;06.04.2022;;06.04.2022;;;;SK92562;;;;07.04.2022;;07.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;420;13.6;;;;24;;;1;1;TIMO;;;;;01.04.2022 13:23:11
EE101923620;317269;;;593.20;64.40;;267.40;202.30;854.50;;;;;EE10148;;;;05.04.2022;;07.04.2022;;;;DE55116;;;;09.04.2022;;11.04.2022;;Rigid truck, Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;;;;2000;13.6;;;;24;;;1;1;TIMO;;;;;05.04.2022 09:24:26
LT100001806917;4716;;240.30;;72.10;139.20;267.40;282.30;721.00;;80.50;;;EE66628;;;;05.04.2022;0:00;05.04.2022;23:59;;;HU9400;;;;08.04.2022;0:00;08.04.2022;23:59;Articulated truck;Curtain;Side, Back,;;;;;1700;13.6;;;;24;;;1;1;TIMO;;;;;05.04.2022 09:32:39
EE101047069;82500;;;;222.90;;;;;;;;;EE11415;;;;05.04.2022;;05.04.2022;;;;EE92001;;;;05.04.2022;;06.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;250;13.6;;;;24;;-18;3;1;TIMO;;;;;05.04.2022 07:38:18
EE100413115;365225;;;358.00;227.90;;269.90;202.30;854.00;;;;;DE98701;;;;11.04.2022;;15.04.2022;;;;EE10148;;;;18.04.2022;;22.04.2022;;Rigid truck, Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;;;;1950;13.6;;;;22;;;1;1;TIMO;;;;;04.04.2022 16:02:24
LV40203047557;342853;;;584.60;;;269.90;88.40;810.60;;;;;DE58256;;;;12.04.2022;;15.04.2022;;;;LV1012;;;;15.04.2022;;18.04.2022;;Rigid truck, Articulated truck;Jumbo, Curtain;Side, Back,;;;;;1700;13.6;120;;;20;;;1;1;TIMO;;;;;05.04.2022 12:57:25
LT100009552219;;;;;;16.90;269.90;86.70;802.70;;263.90;;;HU3600;;;;07.04.2022;;07.04.2022;;;;LV1001;;;;12.04.2022;;12.04.2022;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;1300;13.6;;;;24;;;1;1;TRANS;45;;;;
PL8732942071;;;;;190.20;219.70;269.90;202.30;762.20;;321.90;;;HU2367;;;;06.04.2022;;06.04.2022;;;;EE11312;;;;12.04.2022;;12.04.2022;;Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;;;;1700;13.6;;;;5;;;1;1;TRANS;45;;;;
PL1132872513;;;;;85.70;;267.40;251.00;762.10;;309.00;;;EE50103;;;;06.04.2022;;06.04.2022;;;;SK92901;;;;07.04.2022;;07.04.2022;;Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;MINERAL WOOL;;;1200;13.6;;;;10;;;1;1;TRANS;45;;;;
LT355849917;;;;;85.70;;;52.40;;;;;;EE50103;;;;06.04.2022;;06.04.2022;;;;LV4201;;;;07.04.2022;;07.04.2022;;Rigid truck, Articulated truck;Tautliner;Side, Back,;;;;;180;13.6;;;;24;;;1;1;TRANS;45;;;;
LT400390515;;;;;193.60;;205.90;210.90;;;;;;EE10001;;;;07.04.2022;;07.04.2022;;;;LT91100;;;;08.04.2022;;08.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;370;13.6;;;;24;;;1;1;TRANS;45;;;;
EE101024260;;;;;257.40;;;;;616.40;;;;EE20303;;;;07.04.2022;;07.04.2022;;;;SE28933;;;;08.04.2022;;08.04.2022;;Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;FURNITURE;;;1680;13.6;;;;10;;;1;1;TRANS;35;;;;
